Date,Time,AirTemperature,Year
01/06/1985,00:00:00,1.6,1985
01/06/1985,03:00:00,2.3,1985
01/06/1985,06:00:00,3.3,1985
01/06/1985,09:00:00,5,1985
01/06/1985,12:00:00,9.2,1985
01/06/1985,18:00:00,7.5,1985
02/06/1985,00:00:00,4.6,1985
02/06/1985,06:00:00,4.2,1985
02/06/1985,09:00:00,4.2,1985
02/06/1985,12:00:00,5.1,1985
02/06/1985,15:00:00,5.5,1985
02/06/1985,18:00:00,4,1985
02/06/1985,21:00:00,1.6,1985
03/06/1985,00:00:00,0,1985
03/06/1985,03:00:00,0.8,1985
03/06/1985,06:00:00,2.2,1985
03/06/1985,09:00:00,2.8,1985
03/06/1985,12:00:00,3.5,1985
03/06/1985,15:00:00,4.1,1985
03/06/1985,18:00:00,3,1985
03/06/1985,21:00:00,2.5,1985
04/06/1985,00:00:00,1.3,1985
04/06/1985,03:00:00,2.3,1985
04/06/1985,06:00:00,4.5,1985
04/06/1985,09:00:00,5.1,1985
04/06/1985,12:00:00,6.2,1985
04/06/1985,15:00:00,5.5,1985
04/06/1985,18:00:00,4.4,1985
04/06/1985,21:00:00,2.2,1985
05/06/1985,00:00:00,1.2,1985
05/06/1985,03:00:00,0.6,1985
05/06/1985,06:00:00,2.5,1985
05/06/1985,09:00:00,2.8,1985
05/06/1985,12:00:00,3.3,1985
05/06/1985,15:00:00,3.3,1985
05/06/1985,18:00:00,3.2,1985
05/06/1985,21:00:00,1.9,1985
06/06/1985,00:00:00,0.9,1985
06/06/1985,03:00:00,0.7,1985
06/06/1985,06:00:00,2,1985
06/06/1985,09:00:00,3.6,1985
06/06/1985,12:00:00,4.8,1985
06/06/1985,15:00:00,6.5,1985
06/06/1985,18:00:00,5.8,1985
06/06/1985,21:00:00,3.4,1985
07/06/1985,00:00:00,0.5,1985
07/06/1985,03:00:00,4.8,1985
07/06/1985,06:00:00,4.7,1985
07/06/1985,09:00:00,7.1,1985
07/06/1985,12:00:00,9.4,1985
07/06/1985,15:00:00,11,1985
07/06/1985,18:00:00,5.4,1985
07/06/1985,21:00:00,3.3,1985
08/06/1985,00:00:00,2.2,1985
08/06/1985,03:00:00,1.7,1985
08/06/1985,06:00:00,2,1985
08/06/1985,09:00:00,3.4,1985
08/06/1985,12:00:00,4.5,1985
08/06/1985,15:00:00,5.3,1985
08/06/1985,18:00:00,5.1,1985
08/06/1985,21:00:00,4,1985
09/06/1985,00:00:00,2.1,1985
09/06/1985,03:00:00,2.3,1985
09/06/1985,06:00:00,3.6,1985
09/06/1985,09:00:00,6.9,1985
09/06/1985,12:00:00,7.6,1985
09/06/1985,15:00:00,7.7,1985
09/06/1985,18:00:00,6.5,1985
09/06/1985,21:00:00,5,1985
10/06/1985,00:00:00,7.1,1985
10/06/1985,03:00:00,7.3,1985
10/06/1985,06:00:00,8.4,1985
10/06/1985,09:00:00,9.7,1985
10/06/1985,12:00:00,7.8,1985
10/06/1985,15:00:00,8.3,1985
10/06/1985,18:00:00,7.8,1985
10/06/1985,21:00:00,7.3,1985
11/06/1985,00:00:00,7.2,1985
11/06/1985,03:00:00,7.5,1985
11/06/1985,06:00:00,8.3,1985
11/06/1985,09:00:00,11.4,1985
11/06/1985,12:00:00,15.2,1985
11/06/1985,15:00:00,11.8,1985
11/06/1985,18:00:00,10.6,1985
11/06/1985,21:00:00,5.9,1985
12/06/1985,00:00:00,4,1985
12/06/1985,03:00:00,5.6,1985
12/06/1985,06:00:00,7.3,1985
12/06/1985,09:00:00,9.7,1985
12/06/1985,12:00:00,12.8,1985
12/06/1985,15:00:00,13.7,1985
12/06/1985,18:00:00,14.4,1985
12/06/1985,21:00:00,11.3,1985
13/06/1985,00:00:00,7.3,1985
13/06/1985,03:00:00,11.3,1985
13/06/1985,06:00:00,9.3,1985
13/06/1985,09:00:00,8.3,1985
13/06/1985,12:00:00,11.8,1985
13/06/1985,15:00:00,12.8,1985
13/06/1985,18:00:00,11,1985
13/06/1985,21:00:00,8.8,1985
14/06/1985,00:00:00,8.8,1985
14/06/1985,03:00:00,9.6,1985
14/06/1985,06:00:00,11.6,1985
14/06/1985,09:00:00,11.3,1985
14/06/1985,12:00:00,16,1985
14/06/1985,15:00:00,15.6,1985
14/06/1985,18:00:00,14.2,1985
14/06/1985,21:00:00,6.8,1985
15/06/1985,00:00:00,5.2,1985
15/06/1985,03:00:00,5.1,1985
15/06/1985,06:00:00,5.3,1985
15/06/1985,09:00:00,7.4,1985
15/06/1985,12:00:00,11.2,1985
15/06/1985,15:00:00,9.6,1985
15/06/1985,18:00:00,8.9,1985
15/06/1985,21:00:00,7.4,1985
16/06/1985,00:00:00,5.8,1985
16/06/1985,03:00:00,5.8,1985
16/06/1985,06:00:00,5,1985
16/06/1985,09:00:00,5.9,1985
16/06/1985,12:00:00,7.5,1985
16/06/1985,15:00:00,8.2,1985
16/06/1985,18:00:00,8.8,1985
16/06/1985,21:00:00,8.2,1985
17/06/1985,00:00:00,5.2,1985
17/06/1985,03:00:00,7.1,1985
17/06/1985,06:00:00,7.7,1985
17/06/1985,09:00:00,8.1,1985
17/06/1985,12:00:00,9.6,1985
17/06/1985,15:00:00,7.4,1985
17/06/1985,18:00:00,6.8,1985
17/06/1985,21:00:00,5.3,1985
18/06/1985,00:00:00,4.8,1985
18/06/1985,03:00:00,5.9,1985
18/06/1985,06:00:00,7.1,1985
18/06/1985,09:00:00,10.1,1985
18/06/1985,12:00:00,10.6,1985
18/06/1985,18:00:00,9.4,1985
18/06/1985,21:00:00,8.5,1985
19/06/1985,00:00:00,5.9,1985
19/06/1985,03:00:00,7.5,1985
19/06/1985,06:00:00,11.2,1985
19/06/1985,09:00:00,14.1,1985
19/06/1985,12:00:00,15.4,1985
19/06/1985,15:00:00,13.3,1985
19/06/1985,18:00:00,14,1985
19/06/1985,21:00:00,11.8,1985
20/06/1985,00:00:00,7.4,1985
20/06/1985,03:00:00,9.1,1985
20/06/1985,06:00:00,10.7,1985
20/06/1985,09:00:00,11.2,1985
20/06/1985,12:00:00,14.8,1985
20/06/1985,15:00:00,17.6,1985
20/06/1985,18:00:00,18.7,1985
20/06/1985,21:00:00,14.1,1985
21/06/1985,00:00:00,11.2,1985
21/06/1985,03:00:00,10.8,1985
21/06/1985,06:00:00,15.5,1985
21/06/1985,09:00:00,18.3,1985
21/06/1985,12:00:00,20,1985
21/06/1985,18:00:00,18,1985
21/06/1985,21:00:00,16.3,1985
22/06/1985,00:00:00,9.5,1985
22/06/1985,03:00:00,10.4,1985
22/06/1985,06:00:00,11.2,1985
22/06/1985,09:00:00,12.5,1985
22/06/1985,12:00:00,17.9,1985
22/06/1985,15:00:00,20.6,1985
22/06/1985,18:00:00,19.4,1985
22/06/1985,21:00:00,12.9,1985
23/06/1985,00:00:00,10.7,1985
23/06/1985,03:00:00,13.4,1985
23/06/1985,06:00:00,12.6,1985
23/06/1985,09:00:00,10.4,1985
23/06/1985,12:00:00,10.8,1985
23/06/1985,15:00:00,9.8,1985
23/06/1985,18:00:00,8.3,1985
23/06/1985,21:00:00,7.2,1985
24/06/1985,00:00:00,6.2,1985
24/06/1985,03:00:00,5.1,1985
24/06/1985,06:00:00,6.1,1985
24/06/1985,09:00:00,7.9,1985
24/06/1985,12:00:00,10.6,1985
24/06/1985,15:00:00,12.5,1985
24/06/1985,18:00:00,11.7,1985
24/06/1985,21:00:00,9.7,1985
25/06/1985,00:00:00,6.8,1985
25/06/1985,03:00:00,7.6,1985
25/06/1985,06:00:00,10.6,1985
25/06/1985,09:00:00,12.2,1985
25/06/1985,12:00:00,14,1985
25/06/1985,15:00:00,17.8,1985
25/06/1985,18:00:00,17.6,1985
25/06/1985,21:00:00,15.3,1985
26/06/1985,00:00:00,10.6,1985
26/06/1985,03:00:00,9.4,1985
26/06/1985,06:00:00,13.9,1985
26/06/1985,09:00:00,14.7,1985
26/06/1985,12:00:00,18.3,1985
26/06/1985,15:00:00,15.9,1985
26/06/1985,18:00:00,15.8,1985
26/06/1985,21:00:00,14.7,1985
27/06/1985,00:00:00,11.5,1985
27/06/1985,03:00:00,11,1985
27/06/1985,06:00:00,11.5,1985
27/06/1985,09:00:00,14.8,1985
27/06/1985,12:00:00,15.3,1985
27/06/1985,15:00:00,14.8,1985
27/06/1985,18:00:00,13,1985
27/06/1985,21:00:00,8.6,1985
28/06/1985,00:00:00,11.7,1985
28/06/1985,03:00:00,8.7,1985
28/06/1985,06:00:00,7.7,1985
28/06/1985,09:00:00,10.1,1985
28/06/1985,12:00:00,12.8,1985
28/06/1985,15:00:00,15.6,1985
28/06/1985,18:00:00,15.9,1985
28/06/1985,21:00:00,13.2,1985
29/06/1985,00:00:00,8.9,1985
29/06/1985,03:00:00,8.7,1985
29/06/1985,06:00:00,11,1985
29/06/1985,09:00:00,13.3,1985
29/06/1985,12:00:00,13.5,1985
29/06/1985,15:00:00,15.3,1985
29/06/1985,18:00:00,13.6,1985
